,song,surprise,Album,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Unnamed: 0,venue_name,state,date,names
50,evermore,surprise song,evermore (deluxe version),0.39,0.27,1.0,-10.673,1.0,0.0308,0.937,0.00227,0.111,0.32,125.177,71.0,1,1,1,1,1
51,everything has changed,surprise song,Red (Taylor's Version),0.498,0.61,6.0,-5.098,1.0,0.0363,0.271,0.0,0.223,0.474,79.918,77.0,1,1,1,1,1
52,exile,surprise song,folklore (deluxe version),0.31,0.374,6.0,-8.464,1.0,0.0275,0.761,2.46e-05,0.11,0.16,75.938,75.0,1,1,1,1,1
53,false god,surprise song,Lover,0.739,0.32,11.0,-10.862,0.0,0.239,0.736,0.000147,0.111,0.351,79.97,80.0,1,1,1,1,1
54,fearless,normal song,Fearless (Taylor's Version),0.569,0.741,5.0,-4.963,1.0,0.0282,0.0122,0.0,0.333,0.43,100.118,85.0,52,52,52,52,52
55,fifteen,surprise song,Fearless (Taylor's Version),0.559,0.646,7.0,-4.61,1.0,0.0272,0.116,0.0,0.32,0.289,95.466,74.0,1,1,1,1,1
56,foolish one,not sang yet,Speak Now (Taylor's Version),0.671,0.588,7.0,-4.675,1.0,0.0299,0.617,0.0,0.111,0.543,96.965,84.0,0,0,0,0,0
57,forever  always,surprise song,Fearless (Taylor's Version),0.598,0.821,10.0,-4.433,1.0,0.0447,0.0231,0.0,0.143,0.673,128.03,75.0,1,1,1,1,1
58,forever winter,not sang yet,Red (Taylor's Version),0.611,0.552,7.0,-5.828,1.0,0.031,0.256,0.0,0.134,0.41,116.012,70.0,0,0,0,0,0
59,gasoline,not sang yet,Other,0.658,0.717,1.0,-4.257,0.0,0.0633,0.0846,0.0022,0.12,0.595,133.074,62.0,0,0,0,0,0
60,getaway car,surprise song,reputation,0.562,0.689,2.0,-6.745,1.0,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,88.0,1,1,1,1,1
61,girl at home,not sang yet,Red (Taylor's Version),0.691,0.736,5.0,-6.974,1.0,0.0326,0.00955,1.88e-05,0.101,0.612,125.089,69.0,0,0,0,0,0
62,glitch,not sang yet,Midnights (The Til Dawn Edition),0.677,0.451,11.0,-9.744,0.0,0.19,0.318,0.0,0.11,0.399,140.845,64.0,0,0,0,0,0
63,gold rush,surprise song,evermore (deluxe version),0.512,0.462,9.0,-10.491,1.0,0.0408,0.83,0.166,0.121,0.353,112.05,72.0,1,1,1,1,1
64,gorgeous,surprise song,reputation,0.8,0.535,7.0,-6.684,1.0,0.135,0.0713,9.48e-06,0.213,0.451,92.027,85.0,1,1,1,1,1
65,happiness,not sang yet,evermore (deluxe version),0.559,0.334,11.0,-10.733,1.0,0.0376,0.87,0.0,0.114,0.211,122.079,70.0,0,0,0,0,0
66,haunted,surprise song,Speak Now (Taylor's Version),0.427,0.915,5.0,-1.909,1.0,0.0619,0.00667,0.0,0.221,0.355,162.201,82.0,1,1,1,1,1
67,hey stephen,surprise song,Fearless (Taylor's Version),0.788,0.571,6.0,-6.135,1.0,0.0296,0.106,0.0,0.0934,0.797,115.99,73.0,1,1,1,1,1
68,high infidelity,surprise song,Midnights (The Til Dawn Edition),0.564,0.545,10.0,-10.17,1.0,0.104,0.726,0.0,0.0878,0.766,176.082,65.0,1,1,1,1,1
69,hits different,surprise song,Midnights (The Til Dawn Edition),0.672,0.782,5.0,-6.499,1.0,0.0421,0.148,4.73e-06,0.296,0.239,106.026,85.0,1,1,1,1,1
70,hoax,not sang yet,folklore (deluxe version),0.676,0.178,8.0,-15.01,1.0,0.0394,0.964,7.9e-06,0.135,0.404,118.84,70.0,0,0,0,0,0
71,holy ground,surprise song,Red (Taylor's Version),0.622,0.809,9.0,-5.623,1.0,0.0638,0.0288,0.00218,0.109,0.511,156.894,71.0,1,1,1,1,1
72,how you get the girl,surprise song,1989 (Deluxe),0.765,0.656,5.0,-6.112,1.0,0.0504,0.00364,0.00868,0.0918,0.545,119.997,74.0,1,1,1,1,1
73,i almost do,surprise song,Red (Taylor's Version),0.511,0.559,4.0,-6.587,1.0,0.0264,0.0167,0.0,0.113,0.248,145.88,72.0,1,1,1,1,1
74,i bet you think about me,surprise song,Red (Taylor's Version),0.391,0.715,0.0,-4.516,1.0,0.0495,0.167,0.0,0.183,0.473,149.654,78.0,1,1,1,1,1
75,i can see you,surprise song,Speak Now (Taylor's Version),0.694,0.764,6.0,-4.893,1.0,0.0337,0.0586,0.0,0.0608,0.819,123.044,91.0,2,2,2,2,2
76,i did something bad,not sang yet,reputation,0.696,0.602,0.0,-6.156,0.0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,83.0,0,0,0,0,0
77,i forgot that you existed,not sang yet,Lover,0.664,0.316,5.0,-10.345,1.0,0.519,0.298,2.03e-06,0.0812,0.541,92.875,78.0,0,0,0,0,0
78,i knew you were trouble,normal song,Red (Taylor's Version),0.584,0.557,6.0,-6.371,1.0,0.0342,0.0129,0.0,0.0576,0.767,154.008,81.0,52,52,52,52,52
79,i know places,surprise song,1989 (Deluxe),0.602,0.755,0.0,-4.991,1.0,0.071,0.245,0.0,0.178,0.495,159.965,72.0,1,1,1,1,1
80,i know places  voice memo,not sang yet,1989 (Deluxe),0.592,0.128,9.0,-17.932,0.0,0.589,0.829,0.0,0.527,0.15,78.828,0.0,0,0,0,0,0
81,i think he knows,surprise song,Lover,0.897,0.366,0.0,-8.029,1.0,0.0569,0.00889,0.000353,0.0715,0.416,100.003,80.0,1,1,1,1,1
82,i wish you would,surprise song,1989 (Deluxe),0.653,0.893,0.0,-5.966,1.0,0.0538,0.0158,4.95e-05,0.102,0.513,118.035,74.0,1,1,1,1,1
83,i wish you would  voice memo,not sang yet,1989 (Deluxe),0.781,0.357,0.0,-16.394,1.0,0.912,0.717,0.0,0.185,0.645,118.317,0.0,0,0,0,0,0
84,illicit affairs,normal song,folklore (deluxe version),0.529,0.304,10.0,-10.567,1.0,0.0356,0.862,0.0,0.108,0.44,119.58,74.0,52,52,52,52,52
85,im only me when im with you,surprise song,Taylor Swift,0.563,0.934,8.0,-3.629,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,64.0,1,1,1,1,1
86,innocent,not sang yet,Speak Now (Taylor's Version),0.522,0.598,1.0,-5.327,0.0,0.0284,0.101,0.0,0.152,0.149,133.627,79.0,0,0,0,0,0
87,invisible,surprise song,Taylor Swift,0.612,0.394,7.0,-5.723,1.0,0.0243,0.637,0.0,0.147,0.233,96.001,60.0,1,1,1,1,1
88,invisible string,surprise song,folklore (deluxe version),0.651,0.459,4.0,-11.128,0.0,0.0507,0.859,6.63e-05,0.105,0.454,83.455,74.0,4,4,4,4,4
89,its nice to have a friend,not sang yet,Lover,0.737,0.175,10.0,-9.912,1.0,0.0401,0.971,0.000337,0.171,0.545,70.008,74.0,0,0,0,0,0
90,its time to go  bonus track,not sang yet,evermore (deluxe version),0.592,0.41,0.0,-12.426,1.0,0.0397,0.801,1.39e-05,0.09,0.416,151.923,73.0,0,0,0,0,0
91,ivy,surprise song,evermore (deluxe version),0.515,0.545,2.0,-9.277,1.0,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,71.0,1,1,1,1,1
92,jump then fall,surprise song,Fearless (Taylor's Version),0.572,0.69,2.0,-6.201,1.0,0.0358,0.0474,0.0,0.0897,0.624,160.111,69.0,1,1,1,1,1
93,karma,normal song,Midnights (The Til Dawn Edition),0.647,0.614,8.0,-7.091,1.0,0.0651,0.0782,0.0,0.611,0.0956,90.034,69.0,52,52,52,52,52
94,king of my heart,surprise song,reputation,0.675,0.703,0.0,-7.902,1.0,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,80.0,1,1,1,1,1
95,labyrinth,not sang yet,Midnights (The Til Dawn Edition),0.493,0.308,0.0,-15.489,1.0,0.0436,0.804,0.328,0.123,0.13,109.993,66.0,0,0,0,0,0
96,last kiss,surprise song,Speak Now (Taylor's Version),0.55,0.366,10.0,-8.46,1.0,0.0276,0.447,4.43e-06,0.101,0.16,79.401,82.0,1,1,1,1,1
97,lavender haze,normal song,Midnights (The Til Dawn Edition),0.735,0.454,7.0,-10.516,0.0,0.0876,0.236,0.00113,0.133,0.0751,97.043,69.0,52,52,52,52,52
98,london boy,not sang yet,Lover,0.695,0.71,1.0,-6.639,1.0,0.05,0.0246,0.000104,0.133,0.557,157.925,82.0,0,0,0,0,0
99,long live,normal song,Speak Now (Taylor's Version),0.375,0.65,0.0,-4.031,1.0,0.0402,0.0122,0.0,0.189,0.0752,203.89,85.0,14,14,14,14,14
100,long story short,not sang yet,evermore (deluxe version),0.546,0.73,0.0,-7.704,1.0,0.0417,0.66,0.179,0.0972,0.573,157.895,70.0,0,0,0,0,0
101,look what you made me do,normal song,reputation,0.766,0.709,9.0,-6.471,0.0,0.123,0.204,1.41e-05,0.126,0.506,128.07,86.0,52,52,52,52,52
102,love story,normal song,Fearless (Taylor's Version),0.627,0.792,2.0,-4.311,1.0,0.031,0.13,3.97e-06,0.0845,0.415,119.054,82.0,52,52,52,52,52
103,lover,normal song,Lover,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,91.0,52,52,52,52,52
104,mad woman,surprise song,folklore (deluxe version),0.593,0.7,3.0,-9.016,1.0,0.0492,0.67,6.77e-06,0.116,0.451,141.898,72.0,1,1,1,1,1
105,marjorie,normal song,evermore (deluxe version),0.535,0.561,5.0,-11.609,1.0,0.0484,0.876,0.000136,0.115,0.287,96.103,70.0,52,52,52,52,52
106,maroon,surprise song,Midnights (The Til Dawn Edition),0.65,0.397,7.0,-8.237,1.0,0.0365,0.0609,1.4e-06,0.089,0.0382,108.055,69.0,2,2,2,2,2
107,marys song,not sang yet,Taylor Swift,0.403,0.627,2.0,-5.28,1.0,0.0292,0.0177,0.0,0.182,0.374,74.9,63.0,0,0,0,0,0
